t,x,y,z
1735187284.948859,-0.022830617,-7.014745e-05,-0.0005315386
1735187284.960078,-0.022823822,-7.0957e-05,-0.0005314485
1735187284.97111,-0.022821771,-7.144117e-05,-0.0005311726
1735187284.982562,-0.022824759,-7.2270515e-05,-0.0005306283
1735187284.993353,-0.022843743,-7.263746e-05,-0.0005303475
1735187285.00447,-0.022873286,-7.314166e-05,-0.0005300285
1735187285.01597,-0.022911994,-7.540332e-05,-0.0005293026
1735187285.0269508,-0.022920031,-7.181894e-05,-0.0005302579
1735187285.037764,-0.022917654,-6.675377e-05,-0.00053162046
1735187285.049199,-0.022905767,-6.182818e-05,-0.00053024694
1735187285.060318,-0.022908306,-6.1521656e-05,-0.00053242303
1735187285.0713038,-0.02291303,-6.35942e-05,-0.00053413084
1735187285.082474,-0.022920076,-6.773346e-05,-0.0005347066
1735187285.093658,-0.022923421,-6.897172e-05,-0.0005358115
1735187285.104796,-0.022926021,-6.97904e-05,-0.0005366191
1735187285.117465,-0.022928167,-7.0277834e-05,-0.0005370071
1735187285.127022,-0.02294296,-6.946341e-05,-0.000537008
1735187285.137944,-0.022963868,-6.789569e-05,-0.00053652684
1735187285.149126,-0.022990378,-6.57948e-05,-0.0005353535
1735187285.1602712,-0.022999825,-6.554404e-05,-0.0005347747
1735187285.171247,-0.023003517,-6.5990025e-05,-0.00053433643
1735187285.182496,-0.02300126,-6.729469e-05,-0.0005325819
1735187285.1936932,-0.022984287,-7.021498e-05,-0.00053212955
1735187285.2057838,-0.022956945,-7.413805e-05,-0.0005315026
1735187285.215646,-0.022920193,-7.895962e-05,-0.0005298753
1735187285.226717,-0.022900306,-7.9945894e-05,-0.00052950456
1735187285.2377849,-0.022883855,-7.9733036e-05,-0.0005289196
1735187285.248954,-0.022870567,-7.93073e-05,-0.0005265865
1735187285.260051,-0.022851752,-7.5883705e-05,-0.0005276156
1735187285.271096,-0.022832075,-7.106312e-05,-0.00052904553
1735187285.282219,-0.02281218,-6.7048815e-05,-0.00053006073
1735187285.2934542,-0.022816762,-6.7127585e-05,-0.00053072994
1735187285.3043962,-0.0228332,-6.993243e-05,-0.000530951
1735187285.315776,-0.022860844,-7.649606e-05,-0.00052936823
1735187285.326871,-0.022872685,-7.557939e-05,-0.00053002685
1735187285.337744,-0.022882426,-7.300195e-05,-0.00053052
1735187285.34897,-0.02289043,-6.869726e-05,-0.00053186936
1735187285.360064,-0.022903237,-6.6950684e-05,-0.0005316399
1735187285.371095,-0.022917684,-6.564008e-05,-0.0005313571
1735187285.382309,-0.022932896,-6.438367e-05,-0.00053077214
1735187285.393422,-0.022924673,-6.386731e-05,-0.00053138076
1735187285.404409,-0.022905454,-6.385241e-05,-0.00053187873
1735187285.415542,-0.022876278,-6.585277e-05,-0.00052972225
1735187285.426766,-0.02286472,-6.612652e-05,-0.0005305864
1735187285.437768,-0.022856645,-6.696839e-05,-0.0005311752
1735187285.4490209,-0.022852726,-6.944884e-05,-0.00052766444
1735187285.460071,-0.022869548,-6.714964e-05,-0.00052932196
1735187285.471062,-0.022898665,-6.348669e-05,-0.0005310203
1735187285.4823089,-0.022939194,-5.5985634e-05,-0.0005313926
1735187285.493366,-0.022957891,-5.99937e-05,-0.0005313725
1735187285.504451,-0.022971865,-6.7306915e-05,-0.00053067785
1735187285.515609,-0.022980874,-7.7910256e-05,-0.00052733836
1735187285.526725,-0.022980236,-7.719279e-05,-0.00052806316
1735187285.5379,-0.022972409,-7.278862e-05,-0.0005285579
1735187285.549052,-0.02295824,-6.577582e-05,-0.0005253006
1735187285.560137,-0.022953304,-6.61452e-05,-0.0005268772
1735187285.571086,-0.022949658,-6.8733934e-05,-0.0005281349
1735187285.5824342,-0.022947993,-7.3733856e-05,-0.00052895275
1735187285.593504,-0.022962315,-7.299922e-05,-0.0005293828
1735187285.6046891,-0.022985408,-7.063412e-05,-0.0005294065
1735187285.61595,-0.023016749,-6.6289445e-05,-0.0005301853
1735187285.62697,-0.023035487,-6.7480374e-05,-0.00053029787
1735187285.637897,-0.023052068,-7.0388545e-05,-0.0005307543
1735187285.649198,-0.023067506,-7.4301446e-05,-0.000530843
1735187285.6602302,-0.02310352,-7.152383e-05,-0.0005316924
