id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd,error_x,error_y,error_z,affine_matrix
44,535,53525,35250,2505,[40 27  5],[  7  75 -40],[ 37  42 -15],[ 27 -18   5],7.105427357601002e-14,1.1901590823981678e-13,-1.1723955140041653e-13,"[[1.0, -1.5057489136592235e-16, 3.300935582674049e-16, 6.260871852544745e-14], [1.505748913659203e-16, 0.9999999999999998, 6.49389483364497e-15, -4.858387877462255e-15], [-3.3009355826740587e-16, -6.2727600891321345e-15, 1.0, -9.681360728319231e-14], [0.0, 0.0, 0.0, 1.0]]"
45,535,53530,35300,3005,[ 40  55 -40],[ 35  25 -35],[ 65  20 -65],[ 55 -40 -55],3.907985046680551e-14,-6.661338147750939e-15,-4.618527782440651e-14,"[[1.0, 7.152688516774184e-16, -2.344010665279238e-15, 7.847418116018015e-14], [-7.152688516774177e-16, 1.0, 1.522866978227578e-16, 4.788129095200859e-15], [2.3440106652792385e-15, -3.885780586188048e-16, 1.0, -9.25450261352433e-14], [0.0, 0.0, 0.0, 1.0]]"
46,535,53540,35400,4005,[ 40  65 -30],[ 45  25 -25],[ 75  30 -65],[ 65 -30 -75],-3.197442310920451e-14,-2.5757174171303632e-14,0.0,"[[1.0, -1.2862128109495796e-15, 2.8782302816496725e-16, -3.726876562369706e-14], [1.28621281094958e-15, 0.9999999999999998, -2.063480070904941e-16, -4.73819350613868e-14], [-2.8782302816496696e-16, 2.220446049250313e-16, 1.0, 5.359179748199152e-15], [0.0, 0.0, 0.0, 1.0]]"
47,535,53545,35450,4505,[40 29 25],[  9  75 -20],[ 39  44 -15],[ 29 -16 -35],2.842170943040401e-14,-2.4868995751603507e-14,3.552713678800501e-15,"[[1.0, -2.905146072358469e-16, -5.1361661081321195e-18, 2.846540624000377e-14], [2.905146072358469e-16, 1.0, 7.84754404824841e-17, -3.2624638871471033e-14], [5.136166108132103e-18, -5.551115123125783e-17, 1.0, 3.3267790230735557e-15], [0.0, 0.0, 0.0, 1.0]]"
48,535,53550,35500,5005,[ 40  75 -20],[ 55  25 -15],[ 85  40 -65],[ 75 -20 -95],-1.0658141036401503e-14,9.769962616701378e-15,4.973799150320701e-14,"[[1.0, -1.5409130064852567e-18, 7.950185655175269e-16, -2.582964335704329e-14], [1.5409130064853382e-18, 0.9999999999999999, 8.112858942116754e-17, 8.700829942077846e-15], [-7.950185655175269e-16, 5.551115123125783e-17, 1.0, 6.619532782298941e-14], [0.0, 0.0, 0.0, 1.0]]"
49,540,54010,40100,1005,[ 45  40 -70],[ 15  30 -65],[ 50   0 -75],[ 40 -70 -15],-7.176481631177012e-13,-2.842170943040401e-14,-6.714628852932947e-13,"[[1.0, -8.35399147099858e-15, -9.255703030821386e-15, -5.241896819093785e-13], [8.366505520186512e-15, 1.0, 4.5971843114949035e-15, -2.416200788391446e-13], [9.2148511043888e-15, -4.378442053365461e-15, 1.0, -8.049128870793313e-13], [0.0, 0.0, 0.0, 1.0]]"
50,540,54015,40150,1505,[ 45  31 -15],[  6  80 -60],[ 41  41 -25],[ 31 -29  25],1.1723955140041653e-13,-1.5720758028692217e-13,4.973799150320701e-14,"[[1.0, 1.9932712573498547e-14, -8.606613072635226e-15, 1.631082225153678e-13], [-1.9848930219832012e-14, 1.0, 7.569298817872016e-15, 4.6454821190087455e-14], [8.770761894538737e-15, -7.507883204027621e-15, 1.0, -5.923960387239871e-14], [0.0, 0.0, 0.0, 1.0]]"
51,540,54020,40200,2005,[ 45  50 -60],[ 25  30 -55],[ 60  10 -75],[ 50 -60 -35],-8.881784197001252e-14,-4.3520742565306136e-14,1.7763568394002505e-14,"[[1.0, -3.5379041060261047e-15, 2.6144078716754027e-15, -1.1480718715621743e-13], [3.537904106026108e-15, 0.9999999999999998, -5.720640021040404e-16, -9.187252088123271e-14], [-2.614407871675401e-15, 7.216449660063518e-16, 1.0, 5.846444977800663e-14], [0.0, 0.0, 0.0, 1.0]]"
52,540,54025,40250,2505,[45 32 -5],[  7  80 -50],[ 42  42 -25],[ 32 -28   5],7.105427357601002e-14,4.796163466380676e-14,6.039613253960852e-14,"[[1.0, -1.4940620503045318e-16, 7.723903323830414e-16, 5.716936959861578e-14], [1.4940620503045086e-16, 1.0000000000000002, 3.1018898030286445e-15, -6.097095049166754e-15], [-7.723903323830419e-16, -2.9976021664879227e-15, 1.0, 8.859021457657248e-14], [0.0, 0.0, 0.0, 1.0]]"
53,540,54030,40300,3005,[ 45  60 -50],[ 35  30 -45],[ 70  20 -75],[ 60 -50 -55],-5.3290705182007514e-14,1.4210854715202004e-14,-2.4868995751603507e-14,"[[1.0, 2.8885071878178078e-15, -9.359839788133804e-16, -5.216342795161336e-14], [-2.888507187817809e-15, 0.9999999999999998, -2.8567588634153453e-16, 6.789090408888956e-14], [9.359839788133796e-16, 4.440892098500626e-16, 1.0, -4.1671890818545086e-14], [0.0, 0.0, 0.0, 1.0]]"
