id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd
148,0155,15530,5300,30015,[20  5 20],[ 45 -25  35],[35  0  5],[  5  20 -45]
149,0155,15535,5350,35015,[ 20 -22  75],[18 25 40],[ 8 23 55],[-22  43  -5]
150,0155,15540,5400,40015,[20 15 30],[ 55 -25  45],[45 10  5],[ 15  30 -65]
151,0155,15545,5450,45015,[ 20 -21  85],[19 25 50],[ 9 24 55],[-21  44 -25]
152,0155,15550,5500,50015,[20 25 40],[ 65 -25  55],[55 20  5],[ 25  40 -85]
153,01510,15105,1050,5015,[ 16 -20  35],[ 20 -20   0],[  6 -30  45],[-24 -20  55]
154,01510,151020,10200,20015,[25  0  0],[ 35 -20  15],[ 30 -10  -5],[  0   0 -25]
155,01510,151025,10250,25015,[ 25 -18  55],[17 30 20],[12 22 45],[-18  32  15]
156,01510,151030,10300,30015,[25 10 10],[ 45 -20  25],[40  0 -5],[ 10  10 -45]
157,01510,151035,10350,35015,[ 25 -17  65],[18 30 30],[13 23 45],[-17  33  -5]
158,01510,151040,10400,40015,[25 20 20],[ 55 -20  35],[50 10 -5],[ 20  20 -65]
159,01510,151045,10450,45015,[ 25 -16  75],[19 30 40],[14 24 45],[-16  34 -25]
160,01510,151050,10500,50015,[25 30 30],[ 65 -20  45],[60 20 -5],[ 30  30 -85]
161,01520,15205,2050,5015,[ 17 -10  15],[ 20 -10 -20],[  7 -30  25],[-23 -40  55]
162,01520,152010,20100,10015,[ 35   0 -30],[ 25 -10 -15],[ 30 -20 -25],[  0 -30  -5]
163,01520,152025,20250,25015,[35 -8 35],[17 40  0],[22 22 25],[-8 12 15]
164,01520,152030,20300,30015,[ 35  20 -10],[ 45 -10   5],[ 50   0 -25],[ 20 -10 -45]
165,01520,152035,20350,35015,[35 -7 45],[18 40 10],[23 23 25],[-7 13 -5]
166,01520,152040,20400,40015,[35 30  0],[ 55 -10  15],[ 60  10 -25],[ 30   0 -65]
167,01520,152045,20450,45015,[35 -6 55],[19 40 20],[24 24 25],[ -6  14 -25]
168,01520,152050,20500,50015,[35 40 10],[ 65 -10  25],[ 70  20 -25],[ 40  10 -85]
169,01525,15255,2550,5015,[17  0  5],[ 20  -5 -30],[  7 -25  15],[-23 -45  55]
170,01525,152510,25100,10015,[ 40   5 -40],[ 25  -5 -25],[ 35 -20 -35],[  5 -40  -5]
171,01525,152520,25200,20015,[ 40  15 -30],[ 35  -5 -15],[ 45 -10 -35],[ 15 -30 -25]
172,01525,152530,25300,30015,[ 40  25 -20],[45 -5 -5],[ 55   0 -35],[ 25 -20 -45]
173,01525,152535,25350,35015,[40 -2 35],[18 45  0],[28 23 15],[-2  3 -5]
174,01525,152540,25400,40015,[ 40  35 -10],[55 -5  5],[ 65  10 -35],[ 35 -10 -65]
175,01525,152545,25450,45015,[40 -1 45],[19 45 10],[29 24 15],[ -1   4 -25]
176,01525,152550,25500,50015,[40 45  0],[65 -5 15],[ 75  20 -35],[ 45   0 -85]
177,01530,15305,3050,5015,[18  0 -5],[ 20   0 -40],[  8 -30   5],[-22 -60  55]
178,01530,153010,30100,10015,[ 45  10 -50],[ 25   0 -35],[ 40 -20 -45],[ 10 -50  -5]
179,01530,153020,30200,20015,[ 45  20 -40],[ 35   0 -25],[ 50 -10 -45],[ 20 -40 -25]
180,01530,153025,30250,25015,[45  2 15],[ 17  50 -20],[32 22  5],[ 2 -8 15]
181,01530,153035,30350,35015,[45  3 25],[ 18  50 -10],[33 23  5],[ 3 -7 -5]
182,01530,153040,30400,40015,[ 45  40 -20],[55  0 -5],[ 70  10 -45],[ 40 -20 -65]
183,01530,153045,30450,45015,[45  4 35],[19 50  0],[34 24  5],[  4  -6 -25]
184,01530,153050,30500,50015,[ 45  50 -10],[65  0  5],[ 80  20 -45],[ 50 -10 -85]
185,01535,15355,3550,5015,[ 18  10 -15],[ 20   5 -50],[  8 -25  -5],[-22 -65  55]
186,01535,153510,35100,10015,[ 50  15 -60],[ 25   5 -45],[ 45 -20 -55],[ 15 -60  -5]
187,01535,153520,35200,20015,[ 50  25 -50],[ 35   5 -35],[ 55 -10 -55],[ 25 -50 -25]
188,01535,153525,35250,25015,[50  7  5],[ 17  55 -30],[37 22 -5],[  7 -18  15]
189,01535,153530,35300,30015,[ 50  35 -40],[ 45   5 -25],[ 65   0 -55],[ 35 -40 -45]
190,01535,153540,35400,40015,[ 50  45 -30],[ 55   5 -15],[ 75  10 -55],[ 45 -30 -65]
191,01535,153545,35450,45015,[50  9 25],[ 19  55 -10],[39 24 -5],[  9 -16 -25]
192,01535,153550,35500,50015,[ 50  55 -20],[65  5 -5],[ 85  20 -55],[ 55 -20 -85]
193,01540,15405,4050,5015,[ 19  10 -25],[ 20  10 -60],[  9 -30 -15],[-21 -80  55]
194,01540,154010,40100,10015,[ 55  20 -70],[ 25  10 -55],[ 50 -20 -65],[ 20 -70  -5]
195,01540,154020,40200,20015,[ 55  30 -60],[ 35  10 -45],[ 60 -10 -65],[ 30 -60 -25]
196,01540,154025,40250,25015,[55 12 -5],[ 17  60 -40],[ 42  22 -15],[ 12 -28  15]
197,01540,154030,40300,30015,[ 55  40 -50],[ 45  10 -35],[ 70   0 -65],[ 40 -50 -45]
198,01540,154035,40350,35015,[55 13  5],[ 18  60 -30],[ 43  23 -15],[ 13 -27  -5]
199,01540,154045,40450,45015,[55 14 15],[ 19  60 -20],[ 44  24 -15],[ 14 -26 -25]
200,01540,154050,40500,50015,[ 55  60 -30],[ 65  10 -15],[ 90  20 -65],[ 60 -30 -85]
201,01545,15455,4550,5015,[ 19  20 -35],[ 20  15 -70],[  9 -25 -25],[-21 -85  55]
202,01545,154510,45100,10015,[ 60  25 -80],[ 25  15 -65],[ 55 -20 -75],[ 25 -80  -5]
203,01545,154520,45200,20015,[ 60  35 -70],[ 35  15 -55],[ 65 -10 -75],[ 35 -70 -25]
204,01545,154525,45250,25015,[ 60  17 -15],[ 17  65 -50],[ 47  22 -25],[ 17 -38  15]
205,01545,154530,45300,30015,[ 60  45 -60],[ 45  15 -45],[ 75   0 -75],[ 45 -60 -45]
206,01545,154535,45350,35015,[60 18 -5],[ 18  65 -40],[ 48  23 -25],[ 18 -37  -5]
207,01545,154540,45400,40015,[ 60  55 -50],[ 55  15 -35],[ 85  10 -75],[ 55 -50 -65]
208,01545,154550,45500,50015,[ 60  65 -40],[ 65  15 -25],[ 95  20 -75],[ 65 -40 -85]
209,01550,15505,5050,5015,[ 20  20 -45],[ 20  20 -80],[ 10 -30 -35],[ -20 -100   55]
210,01550,155010,50100,10015,[ 65  30 -90],[ 25  20 -75],[ 60 -20 -85],[ 30 -90  -5]
211,01550,155020,50200,20015,[ 65  40 -80],[ 35  20 -65],[ 70 -10 -85],[ 40 -80 -25]
212,01550,155025,50250,25015,[ 65  22 -25],[ 17  70 -60],[ 52  22 -35],[ 22 -48  15]
213,01550,155030,50300,30015,[ 65  50 -70],[ 45  20 -55],[ 80   0 -85],[ 50 -70 -45]
214,01550,155035,50350,35015,[ 65  23 -15],[ 18  70 -50],[ 53  23 -35],[ 23 -47  -5]
215,01550,155040,50400,40015,[ 65  60 -60],[ 55  20 -45],[ 90  10 -85],[ 60 -60 -65]
216,01550,155045,50450,45015,[65 24 -5],[ 19  70 -40],[ 54  24 -35],[ 24 -46 -25]
217,0205,20510,5100,10020,[ 25 -25   0],[ 30 -35  20],[ 15 -30  10],[-25   0   0]
218,0205,20515,5150,15020,[ 25 -34  55],[21 15 25],[ 6 11 60],[-34  41  40]
219,0205,20525,5250,25020,[ 25 -33  65],[22 15 35],[ 7 12 60],[-33  42  20]
220,0205,20530,5300,30020,[25 -5 20],[ 50 -35  40],[ 35 -10  10],[ -5  20 -40]
221,0205,20535,5350,35020,[ 25 -32  75],[23 15 45],[ 8 13 60],[-32  43   0]
222,0205,20540,5400,40020,[25  5 30],[ 60 -35  50],[45  0 10],[  5  30 -60]
223,0205,20545,5450,45020,[ 25 -31  85],[24 15 55],[ 9 14 60],[-31  44 -20]
224,0205,20550,5500,50020,[25 15 40],[ 70 -35  60],[55 10 10],[ 15  40 -80]
225,02010,20105,1050,5020,[ 21 -30  35],[ 25 -30   5],[  6 -40  50],[-34 -20  60]
226,02010,201015,10150,15020,[ 30 -29  45],[21 20 15],[11 11 50],[-29  31  40]
227,02010,201025,10250,25020,[ 30 -28  55],[22 20 25],[12 12 50],[-28  32  20]
